ID,PLU,BRANCH_NAME,BRANCH_ID,STOCK_QUANTITY,MIN_STOCK_QUANTITY,MAX_STOCK_QUANTITY,BARCODES_QUANTITY,ROOT_PLU,BSRETAIL_PRICE
1,,,0,0,0,0,0,,0
2,"0000000104","WAREHOUSE",1,103,0,0,0,"00000001",0
3,"0000000105","WAREHOUSE",1,108,0,0,0,"00000001",0
4,"0000000107","WAREHOUSE",1,131,0,0,0,"00000001",0
5,"0000000114","WAREHOUSE",1,99,0,0,0,"00000001",0
6,"0000000118","WAREHOUSE",1,11,0,0,0,"00000001",0
7,"0000000123","WAREHOUSE",1,36,0,0,0,"00000001",0
8,"0000000126","WAREHOUSE",1,20,0,0,0,"00000001",0
9,"0000000106","WAREHOUSE",1,68,0,0,0,"00000001",0
10,"0000000108","WAREHOUSE",1,131,0,0,0,"00000001",0
11,"0000000109","WAREHOUSE",1,128,0,0,0,"00000001",0
12,"0000000110","WAREHOUSE",1,146,0,0,0,"00000001",0
13,"0000000111","WAREHOUSE",1,137,0,0,0,"00000001",0
14,"0000000112","WAREHOUSE",1,172,0,0,0,"00000001",0
15,"0000000113","WAREHOUSE",1,105,0,0,0,"00000001",0
16,"0000000115","WAREHOUSE",1,71,0,0,0,"00000001",0
17,"0000000116","WAREHOUSE",1,27,0,0,0,"00000001",0
18,"0000000117","WAREHOUSE",1,52,0,0,0,"00000001",0
19,"0000000120","WAREHOUSE",1,35,0,0,0,"00000001",0
20,"0000000122","WAREHOUSE",1,28,0,0,0,"00000001",0
21,"0000000124","WAREHOUSE",1,37,0,0,0,"00000001",0
22,"0000000125","WAREHOUSE",1,20,0,0,0,"00000001",0
23,"0000013600","WAREHOUSE",1,0,0,0,0,"00000136",0
24,"0000005500","WAREHOUSE",1,0,0,0,0,"00000055",0
25,"0000013601","WAREHOUSE",1,0,0,0,0,"00000136",0
26,"0000005501","WAREHOUSE",1,0,0,0,0,"00000055",0
27,"0000013602","WAREHOUSE",1,-2,0,0,0,"00000136",0
28,"0000005502","WAREHOUSE",1,23,0,0,0,"00000055",0
29,"0000013603","WAREHOUSE",1,-2,0,0,0,"00000136",0
30,"0000005503","WAREHOUSE",1,38,0,0,0,"00000055",0
31,"0000013604","WAREHOUSE",1,-10,0,0,0,"00000136",0
32,"0000005504","WAREHOUSE",1,61,0,0,0,"00000055",0
33,"0000013605","WAREHOUSE",1,-11,0,0,0,"00000136",0
34,"0000005505","WAREHOUSE",1,92,0,0,0,"00000055",0
35,"0000013606","WAREHOUSE",1,-16,0,0,0,"00000136",0
36,"0000005506","WAREHOUSE",1,98,0,0,0,"00000055",0
37,"0000013607","WAREHOUSE",1,-12,0,0,0,"00000136",0
38,"0000005507","WAREHOUSE",1,69,0,0,0,"00000055",0
39,"0000013608","WAREHOUSE",1,-36,0,0,0,"00000136",0
40,"0000005508","WAREHOUSE",1,143,0,0,0,"00000055",0
41,"0000013609","WAREHOUSE",1,-34,0,0,0,"00000136",0
42,"0000005509","WAREHOUSE",1,222,0,0,0,"00000055",0
43,"0000013610","WAREHOUSE",1,-27,0,0,0,"00000136",0
44,"0000005510","WAREHOUSE",1,192,0,0,0,"00000055",0
